Time V mNa hNa jNa Nai Ki Cai CaNSR xKs LTRPNCa HTRPNCa C0Kv43 C1Kv43 C2Kv43 C3Kv43 OKv43 CI0Kv43 CI1Kv43 CI2Kv43 CI3Kv43 OIKv43 C0Kv14 C1Kv14 C2Kv14 C3Kv14 OKv14 CI0Kv14 CI1Kv14 CI2Kv14 CI3Kv14 OIKv14 CaToT C1Herg C2Herg C3Herg OHerg IHerg
0.001 -93.042803 0.00039877086 0.99754719 0.99809399 10.212617 132.13579 0.00015116093 0.9232804 0.00018140794 0.13317394 0.98353234 0.9562951 0.022363487 0.00019620153 7.8004797e-07 1.1570965e-09 0.01534278 0.0046812892 0.00091095098 0.00020430075 -0.00067942449 0.73364385 0.088401589 0.0039945762 8.0232646e-05 6.0720737e-07 0.15983587 0.0085946689 0.0033459288 0.001281476 0.00069242906 7.3952765 0.99956566 0.00036287377 6.3554373e-05 6.9292891e-06 9.8748318e-07 
0.002 -92.978164 0.00040320942 0.99751621 0.99808969 10.212625 132.1358 0.00015107326 0.92326754 0.00018131111 0.13308826 0.98351715 0.95619521 0.022476427 0.00019815792 7.8013621e-07 1.1503165e-09 0.015517258 0.0047171779 0.00079919268 9.34888e-05 -0.00068223289 0.73348807 0.088916858 0.0040421366 8.1678266e-05 6.217635e-07 0.1593794 0.0086213302 0.0033757861 0.001284435 0.00068091256 7.3951044 0.99956357 0.00036470901 6.3795896e-05 6.9313587e-06 9.9113121e-07 
0.003 -92.939967 0.00040585541 0.99748746 0.99808383 10.212633 132.13581 0.0001509846 0.92326051 0.000181224 0.13300312 0.98350192 0.95614505 0.022545698 0.00019937145 7.8462134e-07 1.1575198e-09 0.015570154 0.0047220896 0.00074763032 6.7569863e-05 -0.00068288771 0.73354282 0.089240812 0.0040713401 8.2561904e-05 6.3070689e-07 0.15893866 0.0086278983 0.003390328 0.0012917475 0.00068442931 7.394932 0.99956221 0.00036581461 6.4038857e-05 6.9377963e-06 9.9428186e-07 
0.004 -92.910882 0.00040788189 0.99746474 0.99807725 10.21264 132.13581 0.00015089518 0.92325848 0.00018114369 0.1329186 0.98348667 0.95611408 0.022597068 0.00020028093 7.8930236e-07 1.1663237e-09 0.015569676 0.0047237969 0.00073181058 6.1012799e-05 -0.00068305153 0.73367016 0.08949847 0.0040941731 8.3250187e-05 6.3768593e-07 0.15850773 0.008627679 0.0033995093 0.0012988855 0.00069073705 7.3947593 0.99956117 0.00036664968 6.4237725e-05 6.9471393e-06 9.971927e-07 
0.005 -92.893431 0.00040910869 0.99744805 0.99807045 10.212648 132.13582 0.00015080519 0.92326072 0.00018106837 0.13283472 0.98347141 0.95610172 0.022629595 0.00020085854 7.9253257e-07 1.1725818e-09 0.015554707 0.0047236464 0.00072786558 5.936805e-05 -0.00068309166 0.73388926 0.089672107 0.0041088477 8.3685688e-05 6.4207783e-07 0.15809545 0.0086192182 0.0034019097 0.0013038099 0.00069629121 7.3945867 0.99956049 0.00036716715 6.4389017e-05 6.9583702e-06 9.9984599e-07 
0.006 -92.881172 0.00040996837 0.99743637 0.99806378 10.212656 132.13583 0.00015071477 0.92326658 0.00018099659 0.13275147 0.98345616 0.95609888 0.022651874 0.00020125418 7.9482251e-07 1.1770703e-09 0.01553724 0.0047223879 0.00072712462 5.9001243e-05 -0.00068309978 0.73415062 0.089806628 0.0041197175 8.4003032e-05 6.4525162e-07 0.15769471 0.0086071602 0.0034011423 0.0013065348 0.00070006938 7.394414 0.99956001 0.00036752409 6.4497325e-05 6.9705464e-06 1.0023014e-06 
0.007 -92.871089 0.0004106768 0.99742789 0.99805738 10.212664 132.13583 0.00015062406 0.92327552 0.00018092767 0.13266885 0.98344091 0.9560993 0.022670027 0.00020157649 7.967146e-07 1.1807975e-09 0.015520003 0.0047207513 0.00072714563 5.8958749e-05 -0.00068309984 0.73442866 0.089925141 0.0041290339 8.4272178e-05 6.4792573e-07 0.15730041 0.0085936784 0.0033990758 0.0013078912 0.00070241792 7.3942414 0.99955962 0.00036781668 6.4576285e-05 6.9830161e-06 1.0046537e-06 
0.008 -92.861822 0.00041131638 0.99742162 0.99805133 10.212672 132.13584 0.00015053318 0.92328704 0.00018086113 0.13258683 0.98342567 0.95610251 0.022684555 0.00020183407 7.9823326e-07 1.1837948e-09 0.015503901 0.004718746 0.00072723512 5.8985378e-05 -0.00068309823 0.73471454 0.090035577 0.0041375711 8.4517207e-05 6.5034889e-07 0.1569105 0.0085796534 0.0033963598 0.0013081553 0.00070369793 7.3940689 0.9995593 0.00036806205 6.463458e-05 6.9954485e-06 1.0068797e-06 
0.009 -92.855863 0.00041174272 0.99741601 0.99804555 10.21268 132.13584 0.00015044674 0.9233006 0.00018079706 0.13250541 0.98341043 0.9561066 0.022697351 0.00020206083 7.9957227e-07 1.1864384e-09 0.015488478 0.0047168105 0.00072742425 5.9034761e-05 -0.00068309634 0.73502265 0.09012506 0.0041440616 8.469838e-05 6.5211309e-07 0.15652588 0.0085634032 0.0033919761 0.0013081954 0.0007046511 7.3938964 0.99955904 0.00036825323 6.468597e-05 7.0076697e-06 1.0090759e-06 
0.01 -92.848727 0.00041224663 0.99741199 0.99804027 10.212688 132.13585 0.00015035836 0.92331569 0.00018073573 0.13242597 0.98339545 0.95611213 0.022707706 0.00020224393 8.0065308e-07 1.1885739e-09 0.015474609 0.0047145996 0.00072740482 5.9064391e-05 -0.00068309487 0.73531895 0.09021837 0.0041509737 8.489324e-05 6.5401832e-07 0.15615035 0.0085465914 0.0033882692 0.001307357 0.00070481547 7.3937269 0.99955881 0.00036843222 6.4722898e-05 7.0193823e-06 1.0110689e-06 
