Time V mNa hNa jNa Nai Ki Cai CaNSR xKs LTRPNCa HTRPNCa C0Kv43 C1Kv43 C2Kv43 C3Kv43 OKv43 CI0Kv43 CI1Kv43 CI2Kv43 CI3Kv43 OIKv43 C0Kv14 C1Kv14 C2Kv14 C3Kv14 OKv14 CI0Kv14 CI1Kv14 CI2Kv14 CI3Kv14 OIKv14 CaToT C1Herg C2Herg C3Herg OHerg IHerg
0.001 -93.040038 0.00039896133 0.99754653 0.99809392 10.212617 132.13579 0.00015112498 0.92333739 0.00018140822 0.13317329 0.98353233 0.9562905 0.022367991 0.00019628145 7.8051495e-07 1.158016e-09 0.015342064 0.0046819103 0.00091106955 0.00020429173 -0.00067942366 0.73362154 0.08842194 0.0039965371 8.0292949e-05 6.0782037e-07 0.15983141 0.0085966261 0.0033475528 0.0012820176 0.000692695 7.3962882 0.99956557 0.00036295151 6.355882e-05 6.9292618e-06 9.8758702e-07 
0.002 -92.98049 0.00040304904 0.99751619 0.99808964 10.212625 132.1358 0.00015100516 0.92337466 0.00018131134 0.13308585 0.98351712 0.95619869 0.022472982 0.00019809653 7.797754e-07 1.149607e-09 0.015517738 0.0047167588 0.00079916386 9.3483233e-05 -0.00068223343 0.73350682 0.088899904 0.004040492 8.1627384e-05 6.2124462e-07 0.15938242 0.0086196312 0.0033744306 0.0012842596 0.00068101524 7.3961161 0.99956363 0.00036464624 6.3797345e-05 6.9315053e-06 9.9109304e-07 
0.003 -92.9384 0.00040596457 0.99748744 0.9980838 10.212632 132.13581 0.00015088757 0.92341198 0.00018122417 0.132998 0.98350187 0.95614306 0.022547642 0.00019940621 7.8482566e-07 1.157922e-09 0.015569958 0.0047223094 0.00074762143 6.7566598e-05 -0.00068288761 0.73353032 0.089252234 0.0040724518 8.259642e-05 6.3106031e-07 0.1589365 0.0086290197 0.0033912393 0.0012918334 0.00068439333 7.3959439 0.99956218 0.00036585417 6.4038556e-05 6.9378446e-06 9.9431194e-07 
0.004 -92.91021 0.00040793058 0.99746434 0.99807717 10.21264 132.13581 0.00015076542 0.92344937 0.00018114408 0.13290987 0.98348658 0.95611246 0.022598622 0.00020030881 7.8946729e-07 1.1666489e-09 0.015569371 0.0047240454 0.00073189178 6.1021021e-05 -0.00068305125 0.73366427 0.089503824 0.0040946957 8.3266464e-05 6.3785392e-07 0.15850634 0.0086281623 0.0033999387 0.0012991643 0.00069092426 7.3957715 0.99956114 0.00036667328 6.4240774e-05 6.9472117e-06 9.9725252e-07 
0.005 -92.889293 0.00040939098 0.99744714 0.99807031 10.212648 132.13582 0.00015063248 0.92348711 0.00018106908 0.13282114 0.98347127 0.95609595 0.022635214 0.00020095948 7.9313017e-07 1.1737625e-09 0.015553807 0.0047244105 0.00072803628 5.9385387e-05 -0.00068309082 0.73385721 0.089701263 0.0041116996 8.3774658e-05 6.4299512e-07 0.1580891 0.0086221143 0.0034042451 0.0013044993 0.0006966812 7.395599 0.99956038 0.00036727033 6.4395277e-05 6.9584599e-06 9.9998643e-07 
0.006 -92.874852 0.00041040468 0.99743412 0.99806343 10.212656 132.13583 0.00015051777 0.92352479 0.00018099819 0.13273217 0.98345595 0.95608858 0.022661884 0.00020143419 7.9589031e-07 1.1791819e-09 0.01553542 0.0047238546 0.00072754976 5.9046715e-05 -0.00068309802 0.73410074 0.089852104 0.0041241709 8.4142138e-05 6.4668947e-07 0.15768386 0.0086115534 0.0034047819 0.0013080984 0.00070112059 7.3954266 0.99955982 0.00036769388 6.451407e-05 6.9707697e-06 1.002604e-06 
0.007 -92.864107 0.00041116205 0.99742464 0.99805679 10.212664 132.13583 0.00015040576 0.92356239 0.00018093042 0.13264317 0.98344062 0.95608745 0.022681453 0.00020178219 7.9793733e-07 1.1832182e-09 0.015517834 0.004722482 0.00072772925 5.9027321e-05 -0.00068309743 0.73437323 0.089975817 0.004134001 8.4427476e-05 6.4953433e-07 0.15728751 0.008598477 0.0034031253 0.0013099677 0.00070401981 7.3952543 0.9995594 0.000368008 6.4601655e-05 6.9835625e-06 1.0050607e-06 
0.008 -92.857827 0.00041160446 0.9974181 0.99805053 10.212672 132.13584 0.00015030381 0.92359958 0.00018086498 0.13255456 0.9834253 0.95609353 0.022693057 0.00020198729 7.9914667e-07 1.1856046e-09 0.015502114 0.0047201707 0.0007278372 5.9062309e-05 -0.00068309588 0.73468131 0.09006628 0.0041405807 8.4611364e-05 6.5132847e-07 0.1569009 0.008582347 0.0033988071 0.0013102126 0.00070552897 7.3950822 0.99955914 0.00036819081 6.4663766e-05 6.9964307e-06 1.0073089e-06 
0.009 -92.854482 0.00041184192 0.99741391 0.99804475 10.21268 132.13584 0.00015021774 0.92363611 0.00018080124 0.13246675 0.98340999 0.95610374 0.022699791 0.00020210491 7.9983787e-07 1.1869666e-09 0.015488009 0.0047173023 0.00072772359 5.9082667e-05 -0.00068309499 0.73501184 0.090135316 0.0041450658 8.47298e-05 6.5244254e-07 0.15652152 0.0085642706 0.0033927884 0.00130921 0.00070583097 7.3949101 0.99955898 0.0003682931 6.4705008e-05 7.0090038e-06 1.0093623e-06 
0.01 -92.849589 0.00041218622 0.99741069 0.9980395 10.212687 132.13585 0.0001501413 0.92367123 0.00018074009 0.13238144 0.98339493 0.95611104 0.022708388 0.00020225634 8.00729e-07 1.1887249e-09 0.015474525 0.0047148664 0.00072758272 5.9092803e-05 -0.00068309421 0.73532395 0.090214261 0.0041505673 8.4880495e-05 6.5388965e-07 0.1561495 0.0085459482 0.0033879382 0.0013079723 0.00070555285 7.3947409 0.9995588 0.00036843118 6.4735501e-05 7.0208218e-06 1.0113277e-06 
0.011 64.805697 0.99997234 0.060125076 0.86904605 10.216235 132.14198 0.00015077926 0.92370697 0.00097390665 0.13230266 0.9833798 0.049640646 0.21981659 0.36461001 0.26646395 0.073346933 5.1318823e-07 0.0001760922 0.0032627035 0.0012870302 0.020711 0.0023870036 0.031682612 0.15768807 0.3486993 0.28315909 8.1634966e-07 1.1025975e-06 0.053141509 0.057560993 0.065550731 7.3949457 0.86372384 0.13370884 0.0024187368 0.00013594266 1.264536e-05 
0.012 48.586552 0.99997042 2.233136e-05 0.63825226 10.216109 132.14103 0.00015259943 0.92375272 0.0044744097 0.13227644 0.98336493 3.597282e-07 5.7025317e-05 0.0033270174 0.080784734 0.78811821 7.1058638e-07 -9.4315823e-07 8.5667294e-06 0.00037777878 0.126642 2.0396695e-08 6.4487583e-06 0.00076290077 0.040000138 0.70917796 0 2.1554761e-08 0.0038943856 0.0124476 0.23358175 7.3960089 0.45664126 0.50250085 0.032743991 0.0061110752 0.0020028285 
0.013 31.069019 0.99982103 1.0653851e-08 0.47003957 10.215983 132.13994 0.00015485413 0.92380972 0.0065455401 0.13231723 0.98335087 1.7325483e-08 5.3550985e-06 0.00065118739 0.03482275 0.7380901 -6.3335102e-07 8.510397e-07 1.8855441e-06 0.00090529437 0.22483866 0 5.8012375e-09 7.2133891e-06 0.0038519252 0.66036845 0 1.1262395e-08 0.00040055896 0.0018741566 0.3333689 7.3978952 0.34273877 0.57613528 0.058597704 0.013350875 0.0091773706 
0.014 18.591187 0.99933031 7.9431732e-09 0.33853825 10.215868 132.13903 0.00015966505 0.92388684 0.0077799209 0.13248511 0.98333703 1.4796759e-07 2.6986025e-05 0.0018174426 0.053893239 0.62404868 6.3311368e-07 -8.3288099e-07 1.0175163e-05 0.0030297037 0.31648929 0 1.7869252e-09 2.9715897e-06 0.0021713414 0.57952023 0 -6.3132533e-09 4.4242562e-05 0.00027363149 0.41785881 7.4012021 0.31690884 0.57196115 0.073435699 0.017459404 0.020234903 
0.015 11.603037 0.99856759 2.4862445e-08 0.25065334 10.215772 132.1384 0.00016681273 0.92396157 0.0085184363 0.13284085 0.98332637 1.1941272e-06 0.00012273854 0.0046938032 0.078749308 0.51982385 1.4352443e-10 9.2356941e-08 3.4867453e-05 0.0062883844 0.38960123 0 1.0512184e-08 9.226563e-06 0.0035877345 0.51133985 1.3990465e-09 -9.9384404e-07 7.6832411e-06 8.261153e-05 0.4848451 7.4051616 0.33137846 0.54024561 0.078264436 0.018880994 0.031230501 
